X,x,classifi
85,"RT @ZaidJilani: So polling shows Bernie could put Utah -- Utah -- in play, while Hillary is within margin of error vs GOP",negative
86,"RT @codesforguys: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/7R7vh1rmqu",positive
87,"RT @chanelpuke: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/wpEnyohvdN",positive
88,"RT @lhfang: What a coincidence, after big Hillary Super Tuesday win, stocks for defense contractors Lockheed, General Dynamics, Boeing, etc…",positive
89,"First Draft: Hillary Clinton Criticizes Sheriff Joe Arpaio, Immigration Proxy for Donald Trump https://t.co/cnMejh8V6S",positive
90,"RT @ggreenwald: Hear that noise? It's liberals walking around confused, trying to figure out how to attack Trump's AIPAC speech that sounds…",positive
91,RT @antoniodelotero: carly fiorina dragged hillary SO HARD IM SCREAMING https://t.co/eCZUJg1NcB,positive
92,RT @CommonWhiteGirI: Who would you rather have as the President? RT for this Rock or like for Hillary https://t.co/d7xdlAFKkP,positive
93,@Boiarski I don't trust Trump. Trump is a dangerous cartoon character who knows exactly what he's doing. Hillary is inconsistent &amp,negative
94,@brithume @willcollier @dcexaminer : He is speaking truth. Hillary tanked herself when she called Obama one of the greatest potus ever.,positive
95,Focus Group Calls Hillary “The Worst Liar I’ve Ever Seen.” “She Even Lies About Lying!” https://t.co/IzvanNcQgr https://t.co/3di01uhElC,negative
96,RT @LibertyBritt: Just drove by Trump's new DC hotel.It should be ready in time for Hillary to book for her inaugural ball ,positive
97,@idrawrobots Cruz is not that guy.  Trump is.  Bernie is.  Hillary...well...should be in a prison cell.,negative
98,RT @versacecum: id pick hillary clinton over donald trump any day,positive
99,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,positive
100,"RT @DylanByers: Donald Trump just hit Hillary Clinton for using a teleprompter at AIPAC, after he used a teleprompter at AIPAC.",negative
101,"RT @gerfingerpoken: But, Hillary, You Told Video Lie 2 Benghazi Dead Parents B4 Sons' Caskets https://t.co/7t7nmyjmuG  American Thinker htt…",positive
104,@ConsiderThis1 @msbhavens1 hates Obama- hates Hillary-yet she wins? He's the only one that talked Social security and he wins seniors?,negative
105,RT @FoxNews: .@ScottBaio says his reason for supporting ,positive
106,.@wtfjxrge y'all really would rather not vote for Hillary and let Trump become YOUR next president???? Y'all wildin,positive
108,"RT @DylanByers: Donald Trump just hit Hillary Clinton for using a teleprompter at AIPAC, after he used a teleprompter at AIPAC.",negative
109,"RT @CNN: Donald Trump responds to Hillary Clinton: I have the steadiest hands, far steadier than hers https://t.co/3SsFjKO2Cm https://t.co/…",negative
110,RT @AmyMek: Jews in Israel know how evil Obama/Hillary are 2 them! JINOS in USA don't care about Any Israel! Jews Who do Care Will Vote Tru…,negative
111,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,positive
112,"RT @GuyCodes: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/n02sn0mNJq",positive
113,RT @KSP_Collins: @asmith001992 @seankelly014 plus it's looking like she'll be indicted before the super delegates even vote https://t.co/lG…,negative
114,"""Hillary Clinton and Donald Trump Vow to Protect Israel but Differ on Means"" by MARK LANDLER and MAGGIE HABERMAN v… https://t.co/x5p0kItRtc",positive
115,@DiamondandSilk @tedcruz He won't come clean though. No more than Hillary will!,positive
116,RT @PaulBrandfass: Editorial: Hillary Clinton has the experience to lead https://t.co/WAtV3Rdasq Vote for @HillaryClinton Arizona! ,positive
117,RT @CommonWhiteGirI: Who would you rather have as the President? RT for this Rock or like for Hillary https://t.co/d7xdlAFKkP,positive
118,"RT @CNN: Donald Trump responds to Hillary Clinton: I have the steadiest hands, far steadier than hers https://t.co/3SsFjKO2Cm https://t.co/…",negative
119,"RT @treyconners: again shows hillary LIED to congress #Benghazi

BOMBSHELL: US Was Smuggling Guns to Syria Through Benghazi Consulate https…",negative
120,"RT @CNN: Donald Trump responds to Hillary Clinton: I have the steadiest hands, far steadier than hers https://t.co/3SsFjKO2Cm https://t.co/…",negative
121,"RT @causticbob: American servicemen now refer to Hillary Clinton's airplane as...

""Broomstick One"". 

#Hillary2016",negative
123,"RT @DylanByers: Donald Trump just hit Hillary Clinton for using a teleprompter at AIPAC, after he used a teleprompter at AIPAC.",negative
124,"RT @MSNBC: .@BernieSanders says @HillaryClinton is ""much more hawkish"" than him.  https://t.co/jwOmvbGBAR",negative
125,"RT @CauseWereWasted: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/uAiBiKuhYZ",positive
126,"RT @MO4Hillary: This primary is being decided state by state. Help Hillary win in three easy (seriously, easy) steps: https://t.co/f388VSmm…",positive
127,RT @ReaganCoalition: Bombshell Audio Leaked: Hillary Clinton’s Plan to Take Away Your Guns https://t.co/gDgnAFUmL5,negative
128,"RT @MSNBC: .@BernieSanders says @HillaryClinton is ""much more hawkish"" than him.  https://t.co/jwOmvbGBAR",negative
129,"RT @NBCInvestigates: Clinton says majority of $ from small donations. @PolitiFact finds that ""mostly false."" https://t.co/Ry4ewdv8Q0 https:…",positive
130,"RT @SarcasmTxts: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/BjURSF5EBn",positive
131,RT @peopleforher: @BernieSanders Hillary is against this and you know it. Hillary talks about it every chance she gets at debates. Stop the…,positive
132,It's March. By August those numbers will be reversed and pressure will be on Hillary to drop out.  https://t.co/85teQYWAyN,negative
133,Read this. National CBS/NYT poll @BernieSanders within 5 puts of Hillary. https://t.co/dpSfUH20no via @cbsnews ,negative
134,"RT @gerfingerpoken: Check out ""13 Hours And Counting To End Of Hillary's Candidacy"" Tea Party Command #PJNET https://t.co/Efmnfcd011 https:…",negative
135,"Who Is the Hillary
Voter? https://t.co/gV9q6vPkRY",negative
136,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,positive
137,"RT @jonfavs: Trump accuses Hillary of reading her AIPAC speech off a prompter, after he...reads his AIPAC speech off a prompter.",negative
138,RT @TAW3343: Vote for Hillary &amp  defeat Trump. She's the only one who can do it. https://t.co/e3EAXq83Ex,positive
139,RT @CommonWhiteGirI: Who would you rather have as the President? RT for this Rock or like for Hillary https://t.co/d7xdlAFKkP,positive
140,"RT @CauseWereWasted: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/uAiBiKuhYZ",positive
141,"Just saw @realDonaldTrump on @wolfblitzer. ""...she doesn't know me, Hillary doesn't know my policies."" KNOW BODY KNOWS YOUR POLICIES!!",negative
142,"But, Hillary, You Told Video Lie 2 Benghazi Dead Parents B4 Sons' Caskets https://t.co/7t7nmyjmuG  American Thinker https://t.co/JI8njxchvU",negative
143,"RT @CauseWereWasted: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/uAiBiKuhYZ",positive
144,"RT @jonfavs: Trump accuses Hillary of reading her AIPAC speech off a prompter, after he...reads his AIPAC speech off a prompter.",negative
145,"RT @kalpenn: #FeelTheBern https://t.co/0tkXSpsB6N
Donald Trump and Hillary Clinton viewed unfavorably by majority - CBS/NYT poll https://t.…",negative
146,"RT @DiamondandSilk: Kasich, millions of  people got out &amp; voted for @realDonaldTrump.  Don't go against the will of the people.  Trump will…",negative
147,"RT @rhondakelly0: @CNN Hillary let our Troops be butchered by. Muslims. They begged her for there lives u vote 4 her u hate our , Vets Troo…",negative
148,"RT @albamonica: Hillary Clinton on Gabby Giffords in Phoenix, AZ: ""I am in awe of her courage"" https://t.co/CB2U6iyj5x",positive
149,"RT @AlisonSpalding2: @b1e56df9ce6549f  Hillary has a racist bone
The truth has shown itself. 
#WeEndorsebernie 
ByThePeople #ForThePeople h…",negative
150,RT @charlesfrith: Wikileaks email between Zionists Lynn de Rothschild and Hillary Clinton https://t.co/t28bzdjX7e,negative
152,"RT @CauseWereWasted: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/uAiBiKuhYZ",positive
153,RT @nxthompson: New poll: basically no one in America is OK with both Hillary and Trump. https://t.co/e5ZoUnkKZE,negative
154,RT @abbey_sears: Angel swears she knows Hillary Clinton personally I can't deal with her anymore someone come get her,positive
155,"It’s Not Sexist To Notice Hillary Clinton’s Weaknesses: Her flaws are many and painfully obvious.
https://t.co/RNgk0K7EGd",negative
156,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,positive
157,"RT @lhfang: What a coincidence, after big Hillary Super Tuesday win, stocks for defense contractors Lockheed, General Dynamics, Boeing, etc…",negative
158,RT @OPB: .@ORGovKateBrown endorses @HillaryClinton for president https://t.co/CTVQOuyVbk,positive
159,Donald Trump attack ad on Hillary Clinton https://t.co/cSyEza862e via @YouTube @politacs7 ,negative
160,"RT @CauseWereWasted: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/uAiBiKuhYZ",positive
161,RT @zie88z: RT BernieSanders: Wonder how many $27 contributions HillaryClinton got at her fundraiser hosted by the NRA lobbyis… https://t.c…,positive
162,Hillary: 'What's Taking Us So Long' To Elect A Woman President [VIDEO] | The Daily Caller https://t.co/hclqMGgx0i we just don't want you,positive
163,@wolfblitzer it appears that the American People want Journalists to ask Hillary about Benghazi and if She Feels she may be Arrested Soon!,negative
164,"RT @DefendingtheUSA: BREAKING! 
NEW CNN/ORC National poll: 
Trump 47
Cruz 31
Kasich 17
https://t.co/AxDuce12cf
#Trump2016 #UtahCaucus #Ariz…",negative
165,Hillary pledges to advance the international order,positive
166,RT @Drunk_America: Reasons to vote for Hillary Clinton: https://t.co/vQh8H4okKD,positive
167,"RT @donnakaz: When Hillary wins
I will cry and shout, “It’s been 
a long time coming.”
#HaikuForHillary #ImWithHer",positive
168,Sign @RBReich's petition: Bernie or Hillary? Let the voters decide -- not party elites  https://t.co/lWuTFqN6R7,negative
169,"RT @CauseWereWasted: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/uAiBiKuhYZ",positive
170,RT @moisturizeds: somebody come get hillary clinton https://t.co/QZT1VcVVrJ,negative
171,"RT @TweetLlkeAGuy: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/w2ccPnntBj",positive
172,RT @gerfingerpoken: (IBD) Hillary's Intimidation Of ,negative
173,"For those who can't chose between Hillary or Trump, here's CLUMP. #FinalFive  #cnn https://t.co/qj7Cc40JjA",negative
175,"@DONALDTRUMP#colleenwhitak20 HILLARY KNOWS ABOUT WORLD AFFAIRS! SEC. OF STATE, ETC. YOU TRUMP
KNOW NOTHING! NOT DEALS! INCOMPETENT!",positive
176,"#ImWithHer reasons why I respect her Stop the hatred,racism,inequality&amp;violence  Hillary want to end this. Don't you https://t.co/V07b6KupyK",positive
177,Bernie thinks Hillary IS George Bush!  https://t.co/0Xk549YeIC,negative
178,RT @thedailybeast: Hillary Clinton brings down the house at ,negative
179,"RT @CNN: Donald Trump responds to Hillary Clinton: I have the steadiest hands, far steadier than hers https://t.co/3SsFjKO2Cm https://t.co/…",negative
180,@realDonaldTrump @AIPAC tHE GRAND DRAGON OF THE KKK ENDORSED HILLARY. NO 1 IN THE PRESS SAID THAT. @HILLARY.  WHY? https://t.co/Ir69PfdGhW,negative
181,Clinton Email Scandal: It’s Time Hillary Suspended Her Campaign https://t.co/1Zb4hRvx1I,negative
182,"RT @JohnFromCranber: HILLARY: Bill + I Were 'Dead Broke' When We Left Office. She Meant 'MORALLY' BANKRUPT, NOT 'Fiscally' Bankrupt #tcot h…",negative
183,"Trump says Hillary doesn't even know him... What??? Bro, do you even google? #finalfive #tytlive",positive
184,Clinton Email Scandal: It’s Time Hillary Suspended Her Campaign https://t.co/l5Df89FuYA,negative
185,@CNN Hillary is a disgrace to America.,negative
186,RT @BrianWhiteMA: drumpf just said Hillary doesn't know him. Oh really? Just like you don't know David Duke? ,positive
187,"RT @CauseWereWasted: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/uAiBiKuhYZ",positive
188,RT @ConservativeGM: @lolagomezucla @FiveRights actually Hillary is hated around the world. Egypt has indicted her and Obama. Suggest you re…,negative
190,"Next US president cannot be 'neutral' on Israel, asserts Hillary Clinton https://t.co/xff0m1QJRr",negative
191,RT @ALWarLegal: Did they also hear that candidates can win at convention? And that he's the only one who is beating Hillary? https://t.co/o…,negative
192,"Hillary we need those ak's to protect us from you and co workers, Oh wait you know that that's why you want our guns https://t.co/TzkJ3thO7u",negative
193,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,positive
196,"RT @dbelteshazzar1: Bill Clinton slams Barack #Obama's ""awful legacy"" which #Hillary will continue... https://t.co/wKqP1vEueh",negative
198,RT @umpire43: Hey Utah Take a look at who FUNDS CRUZ and Sanders and Hillary. I give you GEORGE SOROS- Wanted in Russia https://t.co/MKdcKh…,positive
200,RT @WisdomReact: somebody come get hillary clinton https://t.co/gpyfyVdkC8,negative
201,"RT @ComedyOrTruth: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/aBFsMu7VQM",positive
202,@JonathanMNews Well you are a Obama and Hillary supporter of course you are bias like all the media and journalist. Liberals .,positive
203,Donald Trump and Hillary Clinton viewed unfavorably by majority - CBS/NYT poll https://t.co/2tvSCB6aog,negative
204,"@b1e56df9ce6549f  That's not how Hillary sees it 

Bernie Sanders #ForThePeople https://t.co/hQbYrHAlTK",negative
205,"RT @CNN: Donald Trump responds to Hillary Clinton: I have the steadiest hands, far steadier than hers https://t.co/3SsFjKO2Cm https://t.co/…",negative
206,"RT @ThatsRelatabIe: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/1lVroSuyGz",positive
207,"RT @CauseWereWasted: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/uAiBiKuhYZ",positive
208,BLM is supposed to be inclusive not follow in the footsteps of a white feminist like Hillary where you beliefs stop at the boarder,negative
209,"RT @jonfavs: Trump accuses Hillary of reading her AIPAC speech off a prompter, after he...reads his AIPAC speech off a prompter.",negative
210,"RT @CauseWereWasted: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/uAiBiKuhYZ",positive
211,"RT @jonfavs: Trump accuses Hillary of reading her AIPAC speech off a prompter, after he...reads his AIPAC speech off a prompter.",negative
212,RT @GottaLaff: Just now on CNN ,negative
213,"RT @DylanByers: Donald Trump just hit Hillary Clinton for using a teleprompter at AIPAC, after he used a teleprompter at AIPAC.",negative
214,"RT @mitchellvii: Why has no one in the media asked Hillary too disavow the violent, racist anti-Trump protesters?",negative
215,@FoxNews @KatiePavlich /I haven't seen Hillary or Bernie tell these thugs to stop these protests and restore peace.These 2 don't want peace.,negative
216,RT @rob_mcwaters: Bill Clinton slams Obama. Hillary looses White House - Bill in the DogHouse - AGAIN,negative
217,"RT @ConservativeCCC: Voters are sick and tired of the system of cronyism, corruption and government that works for the well-connected... ht…",negative
218,"RT @ChooseCruzUSA: @tedcruz @CNN  If Trump wins the nomination Hillary wins in Nov &amp; then our nation is over as we know it, lets #ChooseCru…",positive
219,"RT @DiamondandSilk: Kasich, millions of  people got out &amp; voted for @realDonaldTrump.  Don't go against the will of the people.  Trump will…",positive
220,"RT @jonfavs: Trump accuses Hillary of reading her AIPAC speech off a prompter, after he...reads his AIPAC speech off a prompter.",negative
221,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,positive
222,"RT @X_Aeon_X: If Hillary is as pathetically weak and petty as your average feminist, she has no business being president. https://t.co/GNK1…",negative
223,"Still Looking For Volunteers to Help Document Hillary's Corruption throughout History in the News.. Anyone? Hard Workers Needed..
#OpHillary",negative
224,Can confidently say Abbi blurting out “I pegged!” to Hillary in last week’s “Broad City” is going to be a Top 5 funniest TV moment of 2016,negative
226,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,positive
227,"RT @ComedyPosts: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/zByVKZKoIy",positive
228,"RT @JohnKasich: BREAKING: 2 new polls out tonight!

Only John Kasich defeats Hillary Clinton in November.

https://t.co/I0uZ3dnqmU
https://…",negative
230,"RT @jonfavs: Trump accuses Hillary of reading her AIPAC speech off a prompter, after he...reads his AIPAC speech off a prompter.",positive
231,"RT @leonpui_: New Article on Hillary Rodham Clinton!
https://t.co/7qsupkOpwW",positive
233,RT @CommonWhiteGirI: Who would you rather have as the President? RT for this Rock or like for Hillary https://t.co/d7xdlAFKkP,positive
235,RT @BFScreenwriter: Clinton Email Scandal: It's Time Hillary Suspended Her Campaign https://t.co/YnfwOl0q0x via @IBDeditorials,negative
236,"RT @DisickReactions: Who would you rather have as the President? 
RT for this Rock or like for Hillary https://t.co/vJtleTC6S3",positive
237,"RT @DylanByers: Donald Trump just hit Hillary Clinton for using a teleprompter at AIPAC, after he used a teleprompter at AIPAC.",negative
238,"RT @DiamondandSilk: Kasich, millions of  people got out &amp; voted for @realDonaldTrump.  Don't go against the will of the people.  Trump will…",negative
239,"'Why do they hate Hillary Clinton so much?'
https://t.co/q7NoUQowl2",negative
241,"I think Trump would lose to Hillary by even worse than this!

#NeverTrump https://t.co/JZTxWuM5IN",positive
243,"RT @CauseWereWasted: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/uAiBiKuhYZ",positive
244,Oregon Gov. Kate Brown Endorses Clinton: Oregon Gov. Kate Brown endorsed Hillary Clinton for her party's presi... https://t.co/olb6iM6aBU,positive
246,@Kyle_Rokeh Hillary is sure to be indicted now 😐,negative
247,@BillyBatts1970 @MSamenfink @BillKristol He's a Hillary donor. Look it up.,negative
248,Oregon Gov. Kate Brown Endorses Clinton: Oregon Gov. Kate Brown endorsed Hillary Clinton for her party's presi... https://t.co/toAvLayx2I,positive
250,"RT @JohnKasich: BREAKING: 2 new polls out tonight!

Only John Kasich defeats Hillary Clinton in November.

https://t.co/I0uZ3dnqmU
https://…",positive
251,RT @TAW3343: Hillary Clinton always talks about the issues we Americans face. She never stoops to cheap shots or hurls vile insults on her …,negative
252,"RT @Manstagram_: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/PVZKbPdjJ4",positive
253,Oregon Gov. Kate Brown Endorses Clinton: Oregon Gov. Kate Brown endorsed Hillary Clinton for her party's presi... https://t.co/b9R1jMb6br,positive
254,@KyGrifter @Rockprincess818 That would be great with voice over that Hillary has a lot of dirty laundry in her past.,positive
255,Hillary Clinton’s Hit List https://t.co/uRLodpPx9J,negative
256,"RT @CauseWereWasted: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/uAiBiKuhYZ",positive
257,Wow. Is all of @Univision as in the bag for Hillary Clinton as @UnivisionAZ?,negative
258,"RT @DylanByers: Donald Trump just hit Hillary Clinton for using a teleprompter at AIPAC, after he used a teleprompter at AIPAC.",negative
259,RT @DesertRiver: Fact. Hillary lied. Hilly tried to delete all these. FBI recovered them to her dismay. FBI investigating. DOJ is too https…,negative
260,"@BernieSanders @HillaryClinton Hillary is a shameless money hungry beast.
She will sell out to anyone or anything for her personal gain.",negative
261,RT @CommonWhiteGirI: Who would you rather have as the President? RT for this Rock or like for Hillary https://t.co/d7xdlAFKkP,positive
262,"RT @CNN: Donald Trump responds to Hillary Clinton: I have the steadiest hands, far steadier than hers https://t.co/3SsFjKO2Cm https://t.co/…",negative
263,I can't stomach Duncan Hunter...  Trump will NEVER win CA against Hillary... Never gonna happen! Hunter is outright dishonest. ,positive
264,I honestly don't think Trump or Hillary know what the heck they are talking about.,negative
265,"Well if they did it that fast, why is it taking years to arrest Hillary https://t.co/0t1OLebclQ",negative
266,"RT @GonzaloRCordova: If you hate Hillary Clinton, you should vote for her because no way will 4 years of dealing with America's shit not ma…",negative
267,Bernie Sanders's Global Victory Over Hillary Clinton https://t.co/Lz6j1uwDaf,positive
268,"Hillary Clinton’s AIPAC speech was a symphony of craven, delusional pandering: https://t.co/HoIlEFRnY2 via @slate",negative
